Module,Title,ECTS,Exam Type,Exam Date,Link to Modul,Link to Exam
M-INFO-102014,Weitere Leistungen,5.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xF1B2D2F393C9954CA53B2072102561C1&camvguid=0xE7CCFB9C7C4A4873975B5DCF0B8BD143&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-100719,Software-Evolution,3.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x480D084C62E0A54EBBE4B3E4AF8C6AC9&camvguid=0x25870101859E0546AD0403B6FF442E76&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x298A4C1605D844B1986B4533742B01EF&camvguid=0x25870101859E0546AD0403B6FF442E76&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100735,Sprachverarbeitung in der Softwaretechnik,3.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x6CCA3412E76E3B4791BC6B1C85AA4347&camvguid=0x1C378834F4B7704FA270C8C04B8B83B0&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x769D91F2E1554FA388E0DA26233A1966&camvguid=0x1C378834F4B7704FA270C8C04B8B83B0&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100734,Web-Anwendungen und Serviceorientierte Architekturen (II),4.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x11AD556C29847C4A9F1AAF94C0EB9C74&camvguid=0x9C62E65D9013F04DA1FCD06042BFC512&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x7119E5EAB44F42C096C20C910F279642&camvguid=0x9C62E65D9013F04DA1FCD06042BFC512&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100731,Fotorealistische Bildsynthese,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x1ECAA76F192A5C4FBC13A8AA2B34BDB9&camvguid=0x1B243FE0E69D0C408D1C4F02C43937F2&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x5B2AABD0A8F94086B63C9D1B2C70390A&camvguid=0x1B243FE0E69D0C408D1C4F02C43937F2&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100732,Interaktive Computergrafik,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xF2FDB1CFAF43E745BBE3D0EFEF62260D&camvguid=0xE06804E9D6DBB2489AA8C42C683AA64A&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0xAFDDE517C76A4336B551515AFF5E594F&camvguid=0xE06804E9D6DBB2489AA8C42C683AA64A&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100728,Kontextsensitive Systeme,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x43B60891DAE7694BA84006B39CD1A50D&camvguid=0x179FAD57D9CA46AEB59F7E62E8BAE235&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x2705E25BE195449AB75F592B83672EEC&camvguid=0x179FAD57D9CA46AEB59F7E62E8BAE235&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100721,Rekonfigurierbare und Adaptive Systeme,3.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x154FB2B210242041A38387A70FB0D7AA&camvguid=0x46A078645C267341965D3CEB8749A276&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x446E5E8558124AF782F3DD972FBABBCA&camvguid=0x46A078645C267341965D3CEB8749A276&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100031,Algorithmen für Routenplanung,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xC939C3567280A641BBED9A7B5666E281&camvguid=0x8E86C410EF600048832E201B8F398E90&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0xD2DF64A286DE4BBA9806C5C738F8A760&camvguid=0x8E86C410EF600048832E201B8F398E90&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100736,Einführung in die Bildfolgenauswertung,3.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x1E521716F65E0B429E51FD1A07B0AC0D&camvguid=0x2775033E56BAC14C8CAB5A6FE16306DB&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x34625DC0B4094E7DBBFED66B8EBCC84D&camvguid=0x2775033E56BAC14C8CAB5A6FE16306DB&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100738,Visualisierung,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xBF7E5F47605B1D488A960E7F5BFD04CE&camvguid=0x9B21F1681CB1EB4DBE018222A37E16B6&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x430BF0FF7C144DE4BEB2DC490E259019&camvguid=0x9B21F1681CB1EB4DBE018222A37E16B6&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100741,Modellgetriebene Software-Entwicklung,3.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x5BC3286B2EA36E4A8F04CCCDA87230E2&camvguid=0x8355C1FB3613064BBC031E6E55E15A94&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0xC92E664208CE45F8B8775653F8316E55&camvguid=0x8355C1FB3613064BBC031E6E55E15A94&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100739,Data and Storage Management,4.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0xDC977E410EFF7549843FB5A1172CE276&camvguid=0x34E3D826E434DF42B6D784D179A95262&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x162379052DB94EE2B73C5D14D49E8EEA&camvguid=0x34E3D826E434DF42B6D784D179A95262&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100742,Kryptographische Wahlverfahren,3.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x4E746948773F8C40B820C80E69D6B8A2&camvguid=0x967AD0A8D583234FB79BD52CFA4F98EE&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-100754,Algorithmische Kartografie,5.0,Not Found,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x8289DE51BEB82F4DBF058E6C65D44AD3&camvguid=0x5BD6D3EA2D99A34E9E486F13FF097C51&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,Not Found
M-INFO-100749,Introduction to Bioinformatics for Computer Scientists,3.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x02D0C2BA22FC594E9352F85138F5CD85&camvguid=0x2CC5A5789E962543B9AE58D717AE43AE&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0xF1B59613F025449E8310D969A40451B0&camvguid=0x2CC5A5789E962543B9AE58D717AE43AE&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100744,Formale Systeme II: Anwendung,5.0,Mündliche Prüfung,N/A,https://campus.studium.kit.edu/events/catalog.php#!campus/all/abstractModuleView.asp?gguid=0x3BB56B060A9B6E4B947C8588A21B5CAD&camvguid=0x2EB028EF55A7BE409523106BFCF879FF&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB,https://campus.studium.kit.edu/events/catalog.php#!campus/all/event.asp?gguid=0x88F4B1F057234E77B76C911143E3DEC7&camvguid=0x2EB028EF55A7BE409523106BFCF879FF&camvceid=CMPEL_8F5EF540&cafiguid=&tguid=0x40B784B43AED4CC9857335104533EDFB
