Title,ECTS,Link
M-INFO-102014 – Weitere Leistungen,5.0,../../campus/all/abstractModuleView.asp?gguid=0xF1B2D2F393C9954CA53B2072102561C1&camvguid=0xE7CCFB9C7C4A4873975B5DCF0B8BD143&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100031 – Algorithmen für Routenplanung,5.0,../../campus/all/abstractModuleView.asp?gguid=0xC939C3567280A641BBED9A7B5666E281&camvguid=0x8E86C410EF600048832E201B8F398E90&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100719 – Software-Evolution,3.0,../../campus/all/abstractModuleView.asp?gguid=0x480D084C62E0A54EBBE4B3E4AF8C6AC9&camvguid=0x25870101859E0546AD0403B6FF442E76&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100721 – Rekonfigurierbare und Adaptive Systeme,3.0,../../campus/all/abstractModuleView.asp?gguid=0x154FB2B210242041A38387A70FB0D7AA&camvguid=0x46A078645C267341965D3CEB8749A276&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100724 – Praktikum: General-Purpose Computation on Graphics Processing Units,3.0,../../campus/all/abstractModuleView.asp?gguid=0x2739D17680A7E14FAACFB2FAD0C8726F&camvguid=0x9C414DC915EE4A048ABB8E8CC0B533B2&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
"M-INFO-100725 – Gehirn und Zentrales Nervensystem: Struktur, Informationstransfer, Reizverarbeitung, Neurophysiologie und Therapie",3.0,../../campus/all/abstractModuleView.asp?gguid=0x7325EC17B2FCBE40AD01F8161022550F&camvguid=0x1C0C1DBCB76C614BB9DF96244E2DDC92&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100728 – Kontextsensitive Systeme,5.0,../../campus/all/abstractModuleView.asp?gguid=0x43B60891DAE7694BA84006B39CD1A50D&camvguid=0x179FAD57D9CA46AEB59F7E62E8BAE235&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100729 – Mensch-Maschine-Interaktion,6.0,../../campus/all/abstractModuleView.asp?gguid=0x394F0F68CFFA674BA3E8842A155311F8&camvguid=0x2A48B9864CB07F43BF730B5882D34FDD&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100731 – Fotorealistische Bildsynthese,5.0,../../campus/all/abstractModuleView.asp?gguid=0x1ECAA76F192A5C4FBC13A8AA2B34BDB9&camvguid=0x1B243FE0E69D0C408D1C4F02C43937F2&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100732 – Interaktive Computergrafik,5.0,../../campus/all/abstractModuleView.asp?gguid=0xF2FDB1CFAF43E745BBE3D0EFEF62260D&camvguid=0xE06804E9D6DBB2489AA8C42C683AA64A&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100734 – Web-Anwendungen und Serviceorientierte Architekturen (II),4.0,../../campus/all/abstractModuleView.asp?gguid=0x11AD556C29847C4A9F1AAF94C0EB9C74&camvguid=0x9C62E65D9013F04DA1FCD06042BFC512&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
M-INFO-100735 – Sprachverarbeitung in der Softwaretechnik,3.0,../../campus/all/abstractModuleView.asp?gguid=0x6CCA3412E76E3B4791BC6B1C85AA4347&camvguid=0x1C378834F4B7704FA270C8C04B8B83B0&camvceid=CMPEL_8F5EF540&cafiguid=0xABA21F33AEEA4899BE1AB8E67083C2CB&tguid=0x40B784B43AED4CC9857335104533EDFB
